Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago,User
0.0,Fri Jun 01 10:28:25 +0000 2018,0.0,1.0,0.0,"RT @BBCBreakfast: Come on then, who wants to get their hands on the world's largest freshwater pearl? 🙋🙋‍♂️ https://t.co/C0QV5sHSRx",78,BBC
0.0,Fri Jun 01 10:01:36 +0000 2018,0.0,1.0,0.0,"🎶 Won’t you listen to the man that’s… reading you a #BedtimeStory! 
 
📚 Catch @george_ezra tonight on #CBeebies! https://t.co/mcCzqePrQ7",79,BBC
0.0,Fri Jun 01 08:20:46 +0000 2018,0.0,1.0,0.0,"RT @BBC6Music: Which Biggest Weekend sets will you be watching back on iPlayer?

We asked Neneh (@misscherrylala), @Hanpeel, @Franz_Ferdina…",80,BBC
0.4404,Fri Jun 01 08:00:05 +0000 2018,0.129,0.612,0.259,"This guy is INCREDIBLE 😂
#Hardball https://t.co/HiI4Uxe5TZ",81,BBC
0.0,Fri Jun 01 07:33:03 +0000 2018,0.0,1.0,0.0,The 1960s counterculture fuelled an artistic explosion in the US – but were the flower children merely privileged?… https://t.co/T81ZRLcQQr,82,BBC
0.3182,Fri Jun 01 07:00:15 +0000 2018,0.198,0.496,0.306,Is individualism to be celebrated or lamented? https://t.co/85gs317qM5,83,BBC
-0.7003,Thu May 31 19:02:02 +0000 2018,0.244,0.756,0.0,"'There's nothing a man can do that a woman cannot do'. 

Meet the Nigerian girls fighting out of poverty. 🥊

https://t.co/d0fm8HShEK",84,BBC
0.6041,Thu May 31 18:03:07 +0000 2018,0.0,0.768,0.232,"Did @PanicAtTheDisco's @BrendonUrie just reveal he was almost in The Greatest Showman? 😱🎶

https://t.co/7YXvyrTfHw",85,BBC
0.802,Thu May 31 17:02:06 +0000 2018,0.0,0.745,0.255,"😍 A baby tamandua called Poco has been born at @ZSLLondonZoo and we're in love. 
👉 https://t.co/RM8LMd1PXm https://t.co/vI4Jkn6iVG",86,BBC
0.0,Thu May 31 16:03:03 +0000 2018,0.0,1.0,0.0,"Introducing: the little owl! 🦉 💚

Less nocturnal than other owls, you can often see these birds during the day.

https://t.co/Tn8nNXr5Wd",87,BBC
-0.3612,Thu May 31 15:57:37 +0000 2018,0.135,0.865,0.0,"RT @bbcthree: We asked people how debt has made them feel. 

More #debtweek content here: https://t.co/UJmBR9F7ij https://t.co/eEycLWdPlu",88,BBC
0.0,Thu May 31 15:34:05 +0000 2018,0.0,1.0,0.0,"RT @BBCSport: #AnnounceVR = ✅

#AnnounceUltraHD = ✅ 

#bbcworldcup #worldcup https://t.co/PQuzRhjh7L",89,BBC
0.3612,Thu May 31 15:34:00 +0000 2018,0.0,0.8,0.2,This is what London looked like 2000 years ago.  #LondonHistoryDay https://t.co/oR66LdjZfs,90,BBC
-0.4019,Thu May 31 15:27:30 +0000 2018,0.109,0.891,0.0,"RT @BBC3CR: For the first time in the history of Luton International Carnival, a group of blind and visually impaired people have taken par…",91,BBC
0.4215,Thu May 31 15:02:07 +0000 2018,0.0,0.887,0.113,"""Goodbye my friend..."" 🇬🇧 🧡

On this day 20 years ago, @GeriHalliwell announced that she was leaving the Spice Girl… https://t.co/NZtZJfNyBF",92,BBC
0.1027,Thu May 31 13:59:09 +0000 2018,0.0,0.897,0.103,🎧🎤 South Korean boy band @BTS_twt have this week become the first #Kpop artists to reach number one on the US album… https://t.co/pb9roPNAKU,93,BBC
0.8271,Thu May 31 13:03:35 +0000 2018,0.0,0.726,0.274,"RT @BBCR1: Who's been enjoying @AdeleRoberts' Tune of the Week from @BTS_twt? 😍

Make sure you're listening tomorrow morning to hear her pl…",94,BBC
-0.8176,Thu May 31 13:03:02 +0000 2018,0.374,0.584,0.043,"'No one's life should end because of debt.'
A debt counsellor writes: 'No matter how big the problem, there's alway… https://t.co/DNgWWkaTFN",95,BBC
0.0,Thu May 31 12:09:57 +0000 2018,0.0,1.0,0.0,"Will you marry me? 💍 
Will you marry me? 💍

This double marriage proposal video gives us all the feels. https://t.co/xLR4N7qtaZ",96,BBC
0.0,Thu May 31 12:05:02 +0000 2018,0.0,1.0,0.0,"When a hedgehog causes carnage. 😂🦔 #CarShare @peterkay_co_uk
https://t.co/8gbgEKhFqf",97,BBC
0.743,Thu May 31 11:00:15 +0000 2018,0.0,0.751,0.249,"😋🍽 Feast your eyes on fantastic, healthy lunch recipes to keep you fuller for longer.
👉 https://t.co/qfzdu7Umdp https://t.co/iWjOuhR8dE",98,BBC
